"Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus"
"251","201211010SAS","OKC","Serge Ibaka","ibakase01","31:02:00",2,7,0.286,0,1,0,0,0,NA,1,8,9,0,0,2,1,5,4,-8
"252","201211010SAS","OKC","Kendrick Perkins","perkike01","27:59:00",1,2,0.5,0,0,NA,0,0,NA,3,3,6,2,0,1,1,4,2,-6
"253","201211010SAS","OKC","Thabo Sefolosha","sefolth01","27:18:00",2,7,0.286,2,3,0.667,2,2,1,0,3,3,1,0,0,1,1,8,-4
"254","201211010SAS","OKC","Kevin Martin","martike02","32:31:00",4,10,0.4,3,6,0.5,4,4,1,1,1,2,5,1,0,1,2,15,6
"255","201211010SAS","OKC","Nick Collison","collini01","20:01",2,6,0.333,0,0,NA,2,2,1,1,0,1,0,1,1,2,2,6,4
"256","201211010SAS","OKC","Hasheem Thabeet","thabeha01","12:09",0,0,NA,0,0,NA,1,2,0.5,1,1,2,0,2,1,1,2,1,-2
"257","201211010SAS","OKC","Eric Maynor","maynoer01","10:33",3,6,0.5,1,2,0.5,0,0,NA,0,3,3,0,0,0,1,0,7,-4
"258","201211010SAS","OKC","Reggie Jackson","jacksre01","0:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0
"259","201211010SAS","SAS","Boris Diaw","diawbo01","35:20:00",4,6,0.667,0,2,0,2,4,0.5,1,6,7,4,1,1,3,4,10,11
"260","201211010SAS","SAS","Tony Parker","parketo01","34:52:00",6,13,0.462,1,2,0.5,1,2,0.5,1,2,3,11,0,0,1,3,14,-2
"261","201211010SAS","SAS","Danny Green","greenda02","34:35:00",5,9,0.556,3,6,0.5,0,0,NA,0,5,5,2,1,0,0,2,13,0
"262","201211010SAS","SAS","Tim Duncan","duncati01","33:43:00",8,19,0.421,0,0,NA,4,6,0.667,0,8,8,1,0,3,0,2,20,-5
"263","201211010SAS","SAS","Kawhi Leonard","leonaka01","32:06:00",2,8,0.25,0,3,0,2,2,1,1,3,4,1,5,0,4,4,6,1
"264","201211010SAS","SAS","Stephen Jackson","jacksst02","27:23:00",4,10,0.4,1,5,0.2,2,2,1,2,4,6,3,1,0,2,1,11,2
"265","201211010SAS","SAS","Gary Neal","nealga01","16:47",4,6,0.667,0,1,0,0,0,NA,0,1,1,3,0,0,1,0,8,0
"266","201211010SAS","SAS","DeJuan Blair","blairde01","10:31",1,5,0.2,0,0,NA,0,0,NA,1,3,4,1,0,0,1,1,2,9
"267","201211010SAS","SAS","Matt Bonner","bonnema01","8:13",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,1,0,0,1,0,0
"268","201211010SAS","SAS","Tiago Splitter","splitti01","4:16",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,3,2,-4
"269","201211010SAS","SAS","Patrick Mills","millspa02","2:15",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-2
"270","201211020ATL","HOU","Jeremy Lin","linje01","39:50:00",6,16,0.375,2,3,0.667,7,8,0.875,5,5,10,7,0,0,3,2,21,9
"271","201211020ATL","HOU","James Harden","hardeja01","39:49:00",14,19,0.737,2,4,0.5,15,17,0.882,1,6,7,2,0,0,5,3,45,17
"272","201211020ATL","HOU","Omer Asik","asikom01","35:13:00",0,7,0,0,0,NA,0,0,NA,9,10,19,1,1,1,3,2,0,15
"273","201211020ATL","HOU","Chandler Parsons","parsoch01","30:41:00",2,9,0.222,1,6,0.167,1,2,0.5,2,3,5,6,3,0,3,2,6,1
"274","201211020ATL","HOU","Patrick Patterson","pattepa01","28:58:00",4,11,0.364,1,4,0.25,0,0,NA,3,4,7,2,2,1,3,0,9,13
"275","201211020ATL","HOU","Carlos Delfino","delfica01","25:47:00",2,8,0.25,1,5,0.2,2,2,1,0,2,2,2,2,0,2,1,7,-6
"276","201211020ATL","HOU","Marcus Morris","morrima03","19:02",8,14,0.571,1,6,0.167,0,0,NA,2,3,5,0,0,0,1,2,17,-6
"277","201211020ATL","HOU","Cole Aldrich","aldrico01","12:31",2,3,0.667,0,0,NA,0,0,NA,1,0,1,0,0,0,0,3,4,-6
"278","201211020ATL","HOU","Toney Douglas","douglto01","8:10",0,3,0,0,2,0,0,0,NA,0,2,2,2,0,0,1,3,0,-2
